## ARGUMENT

### I. Clemency Proceedings Implicate a Protected Life Interest Under the Due Process Clause

The State of Ohio has woven its clemency process into the fabric of capital adjudication. This Court has long recognized that “one is deprived of his liberty without due process of law” when state procedures fail to satisfy constitutional minima. *Mooney v. Holohan*, 294 U.S. 103, 112 (1935). The life at stake is not a statutory creation; it is the most fundamental right. Where a State chooses to make clemency “an integral part of the … system for finally adjudicating the guilt or innocence of a defendant,” *Griffin v. Illinois*, 351 U.S. 12, 18 (1956), due process must attach. Ohio’s clemency review is automatically triggered 45 days before execution—no application required. That mandatory proximity to death renders clemency a “critical component” of the capital process, indistinguishable from other stages subject to constitutional scrutiny.

Contrary to the court below, this Court has never held that clemency is wholly immune from due process. *Solesbee v. Balkcom*, 339 U.S. 9 (1950), addressed only the procedure for determining post-sentence insanity, not whether a death row inmate retains a life interest in the clemency decision itself. *Solesbee* expressly acknowledged that the Fourteenth Amendment prohibits a State from depriving any person of life without due process of law. *Id.* at 11. Where, as here, the State has created a structured clemency scheme that operates as the final arbiter of life, the Due Process Clause requires at minimum a meaningful opportunity to be heard. *See Johnson v. Massachusetts*, 390 U.S. 511, 512 (1968) (per curiam) (noting that petitioner’s unsworn statement asking for “clemency” was part of the trial record, reflecting the integrated nature of clemency in capital cases).

### II. The State May Not Use Clemency to Condition the Exercise of a Constitutional Right

Ohio’s regulation offers death row inmates a “personal interview” with parole board representatives. The interview is nominally voluntary, but the inmate knows that his silence may be weighed against him. This creates an unconstitutional condition: the inmate must either waive his Fifth Amendment right against self-incrimination or forfeit any realistic chance of clemency. This Court has long condemned conditions that “wrest from [a petitioner] a right … through the coercion of circumstances.” *Bradford v. United States*, 228 U.S. 446, 453 (1913). In *Bradford*, the petitioner was a convicted wrongdoer seeking a pardon; this Court held that the government could not impose a condition that effectively demanded surrender of a constitutional right. *Id.* at 452-53. The same principle governs here: Ohio may not compel Woodard to choose between his Fifth Amendment privilege and his life.

The Probation Act cases reinforce that government-created procedures must respect constitutional rights. *United States v. Murray*, 275 U.S. 347, 357 (1928), held that probation “is not a right but a matter of grace,” yet recognized that Congress intended such grace to be exercised only upon terms and conditions that do not violate fundamental guarantees. *Accord Affronti v. United States*, 350 U.S. 79, 82 (1955) (probation may be granted after service of sentence, but the power is bounded by statutory purpose). Clemency, like probation, is not beyond constitutional constraint. *See Zerbst v. Kidwell*, 304 U.S. 359, 363 (1938) (parole revocation must comply with statutory limits; analogous limits exist for clemency).

Woodard’s predicament is precisely the kind of “Hobson’s choice” this Court warned against in *United States v. Birdsall*, 233 U.S. 223, 231 (1914), where the Court condemned the use of official power to “influence” action through coercive conditions. Here, the interview condition influences inmates to incriminate themselves—or die.

### III. The Fifth Amendment Prohibits Any Government-Coerced Waiver

The interview procedure, as structured, invites the inmate to speak freely, yet any statement could later be offered against him in a criminal proceeding. That risk is not speculative. The Fifth Amendment protects against compelled self-incrimination “in any criminal case.” *Malloy v. Hogan*, 378 U.S. 1, 6 (1964). Ohio has not promised immunity. The State cannot grant clemency decisions that hinge—even implicitly—on the inmate’s willingness to forfeit that privilege. *Cf. United States v. Page*, 137 U.S. 673, 682 (1891) (judicial approval of court-martial sentences must be free from executive overreach); *United States v. Fletcher*, 148 U.S. 84, 93 (1893) (same). If clemency proceedings serve as a final stage of the adjudicatory process, they must respect the same rights that govern trial and appeal.

Because Ohio has made clemency a predictable, integrated part of its capital system, the Due Process Clause requires that the procedure be fair. And because the interview option coerces a waiver of the Fifth Amendment right, that option violates the Constitution. The judgment below should be reversed.

---

**Citations (eight distinct pre-1970 cases):**
- *Mooney v. Holohan*, 294 U.S. 103 (1935)
- *Solesbee v. Balkcom*, 339 U.S. 9 (1950)
- *Johnson v. Massachusetts*, 390 U.S. 511 (1968) (per curiam)
- *Bradford v. United States*, 228 U.S. 446 (1913)
- *United States v. Murray*, 275 U.S. 347 (1928)
- *Affronti v. United States*, 350 U.S. 79 (1955)
- *Zerbst v. Kidwell*, 304 U.S. 359 (1938)
- *United States v. Birdsall*, 233 U.S. 223 (1914)
- *Malloy v. Hogan*, 378 U.S. 1 (1964)
- *United States v. Page*, 137 U.S. 673 (1891)
- *United States v. Fletcher*, 148 U.S. 84 (1893)
