ARGUMENT

I. The Disclosure Provisions of Chapter 93-121 are Unconstitutionally Overbroad

The disclosure provisions of Chapter 93-121 impermissibly burden the First Amendment rights of lobbyists and their principals. The Supreme Court has long recognized that compelled disclosure can chill the exercise of First Amendment freedoms. See NAACP v. Alabama ex rel. Patterson, 357 U.S. 449, 462 (1958) (holding that compelled disclosure of NAACP membership lists would likely cause members to disassociate themselves from the organization). The statute's broad disclosure requirements, which mandate the revelation of expenditures by category, including "food and beverages, entertainment, research, communication, media advertising, publications, travel, and lodging," Fla.Stats. § 11.045(3)(a), are likely to have a similar chilling effect.

The Court has also held that a statute is facially invalid if it is "so broad that it may inhibit the constitutionally protected speech of third parties." NAACP v. Button, 371 U.S. 415, 433 (1963). Chapter 93-121's disclosure provisions are not narrowly tailored to achieve a compelling state interest, and therefore, they are unconstitutionally overbroad. See Shelton v. Tucker, 364 U.S. 479, 488 (1960) (striking down a statute that required public school teachers to disclose every organization to which they belonged or contributed).

Furthermore, the statute's failure to provide a clear and narrow definition of "lobbying" and "lobbyist" exacerbates the overbreadth problem. See Thomas v. Collins, 323 U.S. 516, 535 (1945) (holding that a statute regulating labor organizers was unconstitutionally vague). The lack of clarity in the statute's definitions will likely lead to arbitrary and discriminatory enforcement, further chilling the exercise of First Amendment rights. See Cantwell v. Connecticut, 310 U.S. 296, 308 (1940) (striking down a statute that gave a state official unfettered discretion to determine whether a solicitation was "religious").

II. The Contingency-Fee Ban is Unconstitutional

The ban on contingency-fee lobbying is also unconstitutional. While the Supreme Court has upheld certain restrictions on lobbying in the past, see United States v. Harriss, 347 U.S. 612, 625 (1954) (upholding a federal lobbying disclosure statute), more recent precedents are not controlling here. However, we are bound by older precedents. The Court has long recognized that the government may regulate lobbying to prevent corruption and undue influence. See Trist v. Child, 88 U.S. 441, 450 (1874) (upholding a statute prohibiting lobbying for compensation contingent on the passage of legislation).

However, the Court has also held that the government may not restrict speech more than is necessary to achieve its legitimate interests. See Schneider v. State, 308 U.S. 147, 161 (1939) (striking down a statute that prohibited the distribution of handbills). The contingency-fee ban is not narrowly tailored to prevent corruption or undue influence, as it prohibits all contingency-fee lobbying, regardless of whether it is corrupt or not. See Lovell v. City of Griffin, 303 U.S. 444, 451 (1938) (striking down a statute that prohibited the distribution of literature without a permit).

In De Jonge v. Oregon, 299 U.S. 353, 365 (1937), the Court held that the government may not restrict speech based on its content, unless it is necessary to prevent a clear and present danger. The contingency-fee ban restricts speech based on its content, as it prohibits lobbyists from being paid contingent on the outcome of their lobbying efforts. See also Herndon v. Lowry, 301 U.S. 242, 258 (1937) (striking down a statute that prohibited the distribution of literature advocating the overthrow of the government).

In conclusion, the disclosure provisions and contingency-fee ban of Chapter 93-121 are unconstitutional. The statute's broad disclosure requirements and lack of clear definitions will chill the exercise of First Amendment rights, and the contingency-fee ban is not narrowly tailored to achieve a compelling state interest.

Cases cited:

1. NAACP v. Alabama ex rel. Patterson, 357 U.S. 449 (1958)
2. NAACP v. Button, 371 U.S. 415 (1963)
3. Shelton v. Tucker, 364 U.S. 479 (1960)
4. Thomas v. Collins, 323 U.S. 516 (1945)
5. Cantwell v. Connecticut, 310 U.S. 296 (1940)
6. United States v. Harriss, 347 U.S. 612 (1954)
7. Trist v. Child, 88 U.S. 441 (1874)
8. Schneider v. State, 308 U.S. 147 (1939)
9. Lovell v. City of Griffin, 303 U.S. 444 (1938)
10. De Jonge v. Oregon, 299 U.S. 353 (1937)
11. Herndon v. Lowry, 301 U.S. 242 (1937)
